MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','ARM','Allied Rental Modaraba.','READY',46.2,41.8,44
'REG','KOHP','Kohinoor Power Co Ltd.','READY',4.11,2.11,3.11
'REG','SCBPL','Standard Chartered Bank (Pak) Ltd.','READY',26.1765,23.6835,24.93
'REG','RCML','Reliance Cotton Spinning Mills.','READY',110.25,99.75,105
'REG','KHTC','Khyber Tobacco Co. Ltd.','READY',281.9355,255.0845,268.51
'REG','PAKMI','First Pak Mod.','READY',2.95,.95,1.95
'REG','HUMNL','Hum Network Limited.','READY',76.65,69.35,73
'REG','ISL','International Steels Limited.','READY',19.3,17.3,18.3
'REG','UNIC','United Insurance Company.','READY',14.95,12.95,13.95
'REG','JLICL','Jubliee Life Insurance Co Ltd.','READY',173.3025,156.7975,165.05
'REG','HINOON','Highnoon Laboratories Ltd.','READY',127.344,115.216,121.28
'REG','IDRT','Idrees Textile Mills Ltd.','READY',23.6775,21.4225,22.55
'REG','STCL','Shabbir Tiles & Ceramis.','READY',14.01,12.01,13.01
'REG','MSOT','Masood Textile Mills Ltd.','READY',147.819,133.741,140.78
'REG','REDCO','Redco Textile Ltd.','READY',7.79,5.79,6.79
'REG','SLCL','Security Leasing Corp.','READY',7.28,5.28,6.28
'REG','TGL','Tariq Glass.','READY',35.9415,32.5185,34.23
'REG','PICT','Pakistan Int.Container Terminal','READY',239.925,217.075,228.5
'REG','ELSM','Ellcot Spinning Mills Ltd.','READY',112.35,101.65,107
'REG','PKGI','Pakistan General Insurance Co.','READY',12.2,10.2,11.2
'REG','NRL','National Refinary Ltd.','READY',239.925,217.075,228.5
'REG','PIOC','Pioneer Cement Ltd.','READY',40.7295,36.8505,38.79
'REG','PIBTL','Pakistan International Bulk Terminal Ltd','READY',28.9689,26.2099,27.5894
'REG','UBLSIFO','UBL Saving Income Fund','READY',105.9648,95.873,100.9189
'REG','UBLGSFO','UBL Government Securities Fund','READY',105.6935,95.6275,100.6605
'REG','TBIL00010007','TBILL00010007','READY',2,.01,1
'REG','TBIL00080015','TBILL00080015','READY',2,.01,1
'REG','TBIL00160030','TBILL00160030','READY',2,.01,1
'REG','TBIL00310060','TBILL00310060','READY',2,.01,1
'REG','TBIL00610090','TBILL00610090','READY',2,.01,1
'REG','TBIL00910120','TBILL00910120','READY',2,.01,1
'REG','TBIL01210180','TBILL01210180','READY',2,.01,1
'REG','TBIL01810270','TBILL01810270','READY',2,.01,1
'REG','TBIL02710365','TBILL02710365','READY',2,.01,1
'REG','AKZO','Akzo Nobel Pakistan Limited.','READY',143.514,129.846,136.68
'REG','PICICCFO','PICIC Cash Fund','READY',105.9627,95.8711,100.9169
'REG','GAMON','Gammon Pak.','READY',6.17,4.17,5.17
